file,image,start_slice,end_slice
/n/denic_lab/Lab/TH_Imaging/11.11.17_TH87_LC3-p62_TMEMandWT_LSM880_Airyscan//LC3-p62_HEK_dTMEM_NoTreat_10Pos_1_AiryscanProcessing.czi,0,9,49
/n/denic_lab/Lab/TH_Imaging/11.11.17_TH87_LC3-p62_TMEMandWT_LSM880_Airyscan//LC3-p62_HEK_dTMEM_NoTreat_10Pos_1_AiryscanProcessing.czi,1,3,56
/n/denic_lab/Lab/TH_Imaging/11.11.17_TH87_LC3-p62_TMEMandWT_LSM880_Airyscan//LC3-p62_HEK_dTMEM_NoTreat_10Pos_1_AiryscanProcessing.czi,2,13,49
/n/denic_lab/Lab/TH_Imaging/11.11.17_TH87_LC3-p62_TMEMandWT_LSM880_Airyscan//LC3-p62_HEK_dTMEM_NoTreat_10Pos_1_AiryscanProcessing.czi,3,11,44
/n/denic_lab/Lab/TH_Imaging/11.11.17_TH87_LC3-p62_TMEMandWT_LSM880_Airyscan//LC3-p62_HEK_dTMEM_NoTreat_10Pos_1_AiryscanProcessing.czi,4,4,48
/n/denic_lab/Lab/TH_Imaging/11.11.17_TH87_LC3-p62_TMEMandWT_LSM880_Airyscan//LC3-p62_HEK_dTMEM_NoTreat_10Pos_1_AiryscanProcessing.czi,5,3,45
/n/denic_lab/Lab/TH_Imaging/11.11.17_TH87_LC3-p62_TMEMandWT_LSM880_Airyscan//LC3-p62_HEK_dTMEM_NoTreat_10Pos_1_AiryscanProcessing.czi,6,14,52
/n/denic_lab/Lab/TH_Imaging/11.11.17_TH87_LC3-p62_TMEMandWT_LSM880_Airyscan//LC3-p62_HEK_dTMEM_NoTreat_10Pos_1_AiryscanProcessing.czi,7,18,48
/n/denic_lab/Lab/TH_Imaging/11.11.17_TH87_LC3-p62_TMEMandWT_LSM880_Airyscan//LC3-p62_HEK_dTMEM_NoTreat_10Pos_1_AiryscanProcessing.czi,8,13,58
/n/denic_lab/Lab/TH_Imaging/11.11.17_TH87_LC3-p62_TMEMandWT_LSM880_Airyscan//LC3-p62_HEK_dTMEM_NoTreat_10Pos_2_AiryscanProcessing.czi,0,12,46
/n/denic_lab/Lab/TH_Imaging/11.11.17_TH87_LC3-p62_TMEMandWT_LSM880_Airyscan//LC3-p62_HEK_dTMEM_NoTreat_10Pos_2_AiryscanProcessing.czi,1,13,57
/n/denic_lab/Lab/TH_Imaging/11.11.17_TH87_LC3-p62_TMEMandWT_LSM880_Airyscan//LC3-p62_HEK_dTMEM_NoTreat_10Pos_2_AiryscanProcessing.czi,2,15,59
/n/denic_lab/Lab/TH_Imaging/11.11.17_TH87_LC3-p62_TMEMandWT_LSM880_Airyscan//LC3-p62_HEK_dTMEM_NoTreat_10Pos_2_AiryscanProcessing.czi,3,4,43
/n/denic_lab/Lab/TH_Imaging/11.11.17_TH87_LC3-p62_TMEMandWT_LSM880_Airyscan//LC3-p62_HEK_dTMEM_NoTreat_10Pos_2_AiryscanProcessing.czi,4,4,53
/n/denic_lab/Lab/TH_Imaging/11.11.17_TH87_LC3-p62_TMEMandWT_LSM880_Airyscan//LC3-p62_HEK_dTMEM_NoTreat_10Pos_2_AiryscanProcessing.czi,5,12,42
/n/denic_lab/Lab/TH_Imaging/11.11.17_TH87_LC3-p62_TMEMandWT_LSM880_Airyscan//LC3-p62_HEK_dTMEM_NoTreat_10Pos_2_AiryscanProcessing.czi,6,4,37
/n/denic_lab/Lab/TH_Imaging/11.11.17_TH87_LC3-p62_TMEMandWT_LSM880_Airyscan//LC3-p62_HEK_dTMEM_NoTreat_10Pos_2_AiryscanProcessing.czi,7,0,47
/n/denic_lab/Lab/TH_Imaging/11.11.17_TH87_LC3-p62_TMEMandWT_LSM880_Airyscan//LC3-p62_HEK_dTMEM_NoTreat_10Pos_2_AiryscanProcessing.czi,8,12,41
/n/denic_lab/Lab/TH_Imaging/11.11.17_TH87_LC3-p62_TMEMandWT_LSM880_Airyscan//LC3-p62_HEK_dTMEM_NoTreat_10Pos_3_AiryscanProcessing.czi,0,13,56
/n/denic_lab/Lab/TH_Imaging/11.11.17_TH87_LC3-p62_TMEMandWT_LSM880_Airyscan//LC3-p62_HEK_dTMEM_NoTreat_10Pos_3_AiryscanProcessing.czi,1,14,49
/n/denic_lab/Lab/TH_Imaging/11.11.17_TH87_LC3-p62_TMEMandWT_LSM880_Airyscan//LC3-p62_HEK_dTMEM_NoTreat_10Pos_3_AiryscanProcessing.czi,2,15,50
/n/denic_lab/Lab/TH_Imaging/11.11.17_TH87_LC3-p62_TMEMandWT_LSM880_Airyscan//LC3-p62_HEK_dTMEM_NoTreat_10Pos_3_AiryscanProcessing.czi,3,15,55
/n/denic_lab/Lab/TH_Imaging/11.11.17_TH87_LC3-p62_TMEMandWT_LSM880_Airyscan//LC3-p62_HEK_dTMEM_NoTreat_10Pos_3_AiryscanProcessing.czi,4,18,53
/n/denic_lab/Lab/TH_Imaging/11.11.17_TH87_LC3-p62_TMEMandWT_LSM880_Airyscan//LC3-p62_HEK_dTMEM_NoTreat_10Pos_3_AiryscanProcessing.czi,5,20,55
/n/denic_lab/Lab/TH_Imaging/11.11.17_TH87_LC3-p62_TMEMandWT_LSM880_Airyscan//LC3-p62_HEK_dTMEM_NoTreat_10Pos_3_AiryscanProcessing.czi,6,21,59
/n/denic_lab/Lab/TH_Imaging/11.11.17_TH87_LC3-p62_TMEMandWT_LSM880_Airyscan//LC3-p62_HEK_dTMEM_NoTreat_10Pos_3_AiryscanProcessing.czi,7,22,49
