Unnamed: 0,Unnamed: 0.1,channel,count,filename,im_number,intensity_mean,intensity_sd,overlap_count,parent_cell,vol_mean,vol_sd,vol_total,flagged_oof,flagged_z,n_cells,raw_cells,stains,cell_line,treatment,czi_id
0,0,633.0,149.0,Lysoview-LC3_HEK_dTMEM_0hrTor_10Pos_2_AiryscanProcessing.czi,0.0,5136.563758389262,2207.2208474047657,0.0,1.0,147.33557046979863,154.40419975463203,21953.0,0.0,1.0,1,1,Lysoview-LC3,dTMEM,0hrTor,10Pos_2
1,1,633.0,49.0,Lysoview-LC3_HEK_dTMEM_0hrTor_10Pos_2_AiryscanProcessing.czi,1.0,5972.673469387755,2140.127278027282,0.0,1.0,293.5306122448979,753.9192624225093,14383.0,0.0,1.0,3,3,Lysoview-LC3,dTMEM,0hrTor,10Pos_2
2,2,633.0,89.0,Lysoview-LC3_HEK_dTMEM_0hrTor_10Pos_2_AiryscanProcessing.czi,1.0,7480.820224719101,2133.216044986141,0.0,2.0,236.51685393258427,238.81849861536872,21050.0,0.0,1.0,3,3,Lysoview-LC3,dTMEM,0hrTor,10Pos_2
3,3,633.0,84.0,Lysoview-LC3_HEK_dTMEM_0hrTor_10Pos_2_AiryscanProcessing.czi,1.0,7067.107142857143,2119.3245969926943,0.0,3.0,230.89285714285717,227.97056552008115,19395.0,0.0,1.0,3,3,Lysoview-LC3,dTMEM,0hrTor,10Pos_2
4,4,633.0,301.0,Lysoview-LC3_HEK_dTMEM_0hrTor_10Pos_2_AiryscanProcessing.czi,2.0,5776.581395348837,2240.1167359878173,0.0,1.0,157.40199335548172,153.4497350796452,47378.0,0.0,1.0,1,1,Lysoview-LC3,dTMEM,0hrTor,10Pos_2
5,5,633.0,34.0,Lysoview-LC3_HEK_dTMEM_0hrTor_10Pos_2_AiryscanProcessing.czi,3.0,12328.911764705883,7672.047948185109,0.0,1.0,366.79411764705884,656.3812075778213,12471.0,1.0,0.0,3,3,Lysoview-LC3,dTMEM,0hrTor,10Pos_2
6,6,633.0,67.0,Lysoview-LC3_HEK_dTMEM_0hrTor_10Pos_2_AiryscanProcessing.czi,3.0,7309.552238805971,1692.7312096098824,0.0,2.0,181.955223880597,92.74475119279128,12191.0,1.0,0.0,3,3,Lysoview-LC3,dTMEM,0hrTor,10Pos_2
7,7,633.0,67.0,Lysoview-LC3_HEK_dTMEM_0hrTor_10Pos_2_AiryscanProcessing.czi,3.0,8374.835820895523,3194.764801875637,0.0,3.0,189.35820895522392,167.24330864836608,12687.0,1.0,0.0,3,3,Lysoview-LC3,dTMEM,0hrTor,10Pos_2
8,8,633.0,47.0,Lysoview-LC3_HEK_dTMEM_0hrTor_10Pos_2_AiryscanProcessing.czi,4.0,4648.425531914893,2242.08320002976,0.0,1.0,113.91489361702128,72.00326978904863,5354.0,0.0,1.0,3,3,Lysoview-LC3,dTMEM,0hrTor,10Pos_2
9,9,633.0,81.0,Lysoview-LC3_HEK_dTMEM_0hrTor_10Pos_2_AiryscanProcessing.czi,4.0,4593.493827160494,1739.3518629324026,0.0,2.0,145.35802469135803,120.48322587003295,11774.0,0.0,1.0,3,3,Lysoview-LC3,dTMEM,0hrTor,10Pos_2
10,10,633.0,69.0,Lysoview-LC3_HEK_dTMEM_0hrTor_10Pos_2_AiryscanProcessing.czi,4.0,4629.028985507246,1887.8091485900861,0.0,3.0,127.3913043478261,108.28410580658866,8790.0,0.0,1.0,3,3,Lysoview-LC3,dTMEM,0hrTor,10Pos_2
11,11,633.0,97.0,Lysoview-LC3_HEK_dTMEM_0hrTor_10Pos_2_AiryscanProcessing.czi,5.0,5676.298969072165,2372.7979667338777,0.0,1.0,151.17525773195877,116.12914957685386,14664.0,0.0,1.0,2,2,Lysoview-LC3,dTMEM,0hrTor,10Pos_2
12,12,633.0,85.0,Lysoview-LC3_HEK_dTMEM_0hrTor_10Pos_2_AiryscanProcessing.czi,5.0,5122.835294117647,1937.9626688567441,0.0,2.0,134.72941176470587,102.2470616920108,11452.0,0.0,1.0,2,2,Lysoview-LC3,dTMEM,0hrTor,10Pos_2
13,13,633.0,79.0,Lysoview-LC3_HEK_dTMEM_0hrTor_10Pos_2_AiryscanProcessing.czi,6.0,5118.0886075949375,2947.0814036501174,0.0,1.0,171.59493670886073,248.80919056049305,13556.0,0.0,1.0,2,2,Lysoview-LC3,dTMEM,0hrTor,10Pos_2
14,14,633.0,88.0,Lysoview-LC3_HEK_dTMEM_0hrTor_10Pos_2_AiryscanProcessing.czi,6.0,5075.579545454545,1686.0591999641351,0.0,2.0,141.85227272727272,77.34807723690747,12483.0,0.0,1.0,2,2,Lysoview-LC3,dTMEM,0hrTor,10Pos_2
15,15,633.0,142.0,Lysoview-LC3_HEK_dTMEM_0hrTor_10Pos_2_AiryscanProcessing.czi,7.0,4664.816901408451,1451.6627864865047,0.0,1.0,121.7112676056338,90.59430108936844,17283.0,0.0,1.0,2,2,Lysoview-LC3,dTMEM,0hrTor,10Pos_2
