filename,image,cell,488_only_foci,488_total_foci,561_only_foci,561_total_foci,im_n_cells,im_raw_cells,overlap_foci,stains,cell_line,strain,treatment,czi_id
LC3-p62_HEK_dFIP200_No Torin_10Pos_2_AiryscanProcessing.czi,1,1,8,8,3,3,1,1,0,LC3-p62,HEK,dFIP200,No Torin,2
LC3-p62_HEK_dFIP200_No Torin_10Pos_2_AiryscanProcessing.czi,4,1,19,19,2,2,1,1,0,LC3-p62,HEK,dFIP200,No Torin,2
LC3-p62_HEK_dFIP200_No Torin_10Pos_2_AiryscanProcessing.czi,5,1,42,42,1,1,2,2,0,LC3-p62,HEK,dFIP200,No Torin,2
LC3-p62_HEK_dFIP200_No Torin_10Pos_2_AiryscanProcessing.czi,5,2,13,14,0,1,2,2,1,LC3-p62,HEK,dFIP200,No Torin,2
LC3-p62_HEK_dFIP200_No Torin_10Pos_2_AiryscanProcessing.czi,6,1,6,6,0,0,1,2,0,LC3-p62,HEK,dFIP200,No Torin,2
LC3-p62_HEK_dFIP200_No Torin_10Pos_2_AiryscanProcessing.czi,7,1,8,8,0,0,4,4,0,LC3-p62,HEK,dFIP200,No Torin,2
LC3-p62_HEK_dFIP200_No Torin_10Pos_2_AiryscanProcessing.czi,7,2,5,5,0,0,4,4,0,LC3-p62,HEK,dFIP200,No Torin,2
LC3-p62_HEK_dFIP200_No Torin_10Pos_2_AiryscanProcessing.czi,7,3,10,10,0,0,4,4,0,LC3-p62,HEK,dFIP200,No Torin,2
LC3-p62_HEK_dFIP200_No Torin_10Pos_2_AiryscanProcessing.czi,7,4,16,16,0,0,4,4,0,LC3-p62,HEK,dFIP200,No Torin,2
LC3-p62_HEK_dFIP200_No Torin_10Pos_2_AiryscanProcessing.czi,8,1,22,22,0,0,1,1,0,LC3-p62,HEK,dFIP200,No Torin,2
LC3-p62_HEK_dFIP200_No Torin_10Pos_2_AiryscanProcessing.czi,9,1,10,10,0,0,2,2,0,LC3-p62,HEK,dFIP200,No Torin,2
LC3-p62_HEK_dFIP200_No Torin_10Pos_2_AiryscanProcessing.czi,9,2,8,8,0,0,2,2,0,LC3-p62,HEK,dFIP200,No Torin,2
LC3-p62_HEK_dFIP200_No Torin_10Pos_2_AiryscanProcessing.czi,10,1,9,9,0,0,2,2,0,LC3-p62,HEK,dFIP200,No Torin,2
LC3-p62_HEK_dFIP200_No Torin_10Pos_2_AiryscanProcessing.czi,10,2,10,10,0,0,2,2,0,LC3-p62,HEK,dFIP200,No Torin,2
LC3-p62_HEK_dp62_Torin_10Pos_1_AiryscanProcessing.czi,1,1,0,0,74,74,1,1,0,LC3-p62,HEK,dp62,Torin,1
LC3-p62_HEK_dp62_Torin_10Pos_1_AiryscanProcessing.czi,2,1,0,0,37,37,2,2,0,LC3-p62,HEK,dp62,Torin,1
LC3-p62_HEK_dp62_Torin_10Pos_1_AiryscanProcessing.czi,2,2,0,0,27,27,2,2,0,LC3-p62,HEK,dp62,Torin,1
LC3-p62_HEK_dp62_Torin_10Pos_1_AiryscanProcessing.czi,3,1,0,0,53,53,2,2,0,LC3-p62,HEK,dp62,Torin,1
LC3-p62_HEK_dp62_Torin_10Pos_1_AiryscanProcessing.czi,3,2,0,0,40,40,2,2,0,LC3-p62,HEK,dp62,Torin,1
LC3-p62_HEK_dp62_Torin_10Pos_1_AiryscanProcessing.czi,4,1,0,0,42,42,2,2,0,LC3-p62,HEK,dp62,Torin,1
LC3-p62_HEK_dp62_Torin_10Pos_1_AiryscanProcessing.czi,4,2,0,0,49,49,2,2,0,LC3-p62,HEK,dp62,Torin,1
LC3-p62_HEK_dp62_Torin_10Pos_1_AiryscanProcessing.czi,5,1,0,0,51,51,1,2,0,LC3-p62,HEK,dp62,Torin,1
LC3-p62_HEK_dp62_Torin_10Pos_1_AiryscanProcessing.czi,6,1,0,0,15,15,2,2,0,LC3-p62,HEK,dp62,Torin,1
LC3-p62_HEK_dp62_Torin_10Pos_1_AiryscanProcessing.czi,6,2,0,0,14,14,2,2,0,LC3-p62,HEK,dp62,Torin,1
LC3-p62_HEK_dp62_Torin_10Pos_1_AiryscanProcessing.czi,7,1,0,0,12,12,2,2,0,LC3-p62,HEK,dp62,Torin,1
LC3-p62_HEK_dp62_Torin_10Pos_1_AiryscanProcessing.czi,7,2,0,0,33,33,2,2,0,LC3-p62,HEK,dp62,Torin,1
LC3-p62_HEK_dp62_Torin_10Pos_1_AiryscanProcessing.czi,8,1,0,0,55,55,3,3,0,LC3-p62,HEK,dp62,Torin,1
