Unnamed: 0,Unnamed: 0.1,channel,count,filename,im_number,intensity_mean,intensity_sd,overlap_count,parent_cell,vol_mean,vol_sd,vol_total,flagged_oof,flagged_z,n_cells,raw_cells,stains,cell_line,treatment,czi_id
0,0,488.0,30.0,LC3-p62_HEK_dATG7_Torin_10Pos_3_AiryscanProcessing.czi,0.0,5961.1,1066.4278868873575,0.0,1.0,83.46666666666667,40.72932801949401,2504.0,0.0,0.0,2,2,LC3-p62,dATG7,Torin,10Pos_3
1,1,488.0,18.0,LC3-p62_HEK_dATG7_Torin_10Pos_3_AiryscanProcessing.czi,0.0,5639.944444444444,642.8006252259324,0.0,2.0,59.05555555555557,43.47747519892575,1063.0,0.0,0.0,2,2,LC3-p62,dATG7,Torin,10Pos_3
2,2,561.0,1.0,LC3-p62_HEK_dATG7_Torin_10Pos_3_AiryscanProcessing.czi,0.0,5442.0,,0.0,2.0,84.0,,84.0,0.0,0.0,2,2,LC3-p62,dATG7,Torin,10Pos_3
3,3,488.0,11.0,LC3-p62_HEK_dATG7_Torin_10Pos_3_AiryscanProcessing.czi,1.0,6401.090909090909,1208.9538828710924,0.0,1.0,109.1818181818182,81.44546418532855,1201.0,0.0,0.0,7,7,LC3-p62,dATG7,Torin,10Pos_3
4,4,488.0,10.0,LC3-p62_HEK_dATG7_Torin_10Pos_3_AiryscanProcessing.czi,1.0,6381.1,946.8172943545596,0.0,2.0,98.2,37.75888416430408,982.0,0.0,0.0,7,7,LC3-p62,dATG7,Torin,10Pos_3
5,5,488.0,12.0,LC3-p62_HEK_dATG7_Torin_10Pos_3_AiryscanProcessing.czi,1.0,6181.333333333332,1176.4459832542893,0.0,3.0,68.5,61.08042388374676,822.0,0.0,0.0,7,7,LC3-p62,dATG7,Torin,10Pos_3
6,6,488.0,18.0,LC3-p62_HEK_dATG7_Torin_10Pos_3_AiryscanProcessing.czi,1.0,6823.166666666668,1480.645814977966,0.0,4.0,81.77777777777777,54.14311705270586,1472.0,0.0,0.0,7,7,LC3-p62,dATG7,Torin,10Pos_3
7,7,488.0,33.0,LC3-p62_HEK_dATG7_Torin_10Pos_3_AiryscanProcessing.czi,1.0,6901.242424242424,1438.2997129923722,0.0,5.0,103.12121212121212,71.7180928949233,3403.0,0.0,0.0,7,7,LC3-p62,dATG7,Torin,10Pos_3
8,8,488.0,15.0,LC3-p62_HEK_dATG7_Torin_10Pos_3_AiryscanProcessing.czi,1.0,6639.466666666666,1286.1704989545328,0.0,7.0,128.6,108.97430889893269,1929.0,0.0,0.0,7,7,LC3-p62,dATG7,Torin,10Pos_3
9,9,488.0,28.0,LC3-p62_HEK_dATG7_Torin_10Pos_3_AiryscanProcessing.czi,2.0,6401.0357142857165,970.0785566564474,0.0,1.0,105.10714285714286,53.068327225355,2943.0,0.0,0.0,2,2,LC3-p62,dATG7,Torin,10Pos_3
10,10,488.0,23.0,LC3-p62_HEK_dATG7_Torin_10Pos_3_AiryscanProcessing.czi,2.0,6313.739130434783,865.7248259743394,0.0,2.0,98.04347826086956,40.14346800807592,2255.0,0.0,0.0,2,2,LC3-p62,dATG7,Torin,10Pos_3
11,11,561.0,1.0,LC3-p62_HEK_dATG7_Torin_10Pos_3_AiryscanProcessing.czi,2.0,5736.0,,0.0,2.0,20.0,,20.0,0.0,0.0,2,2,LC3-p62,dATG7,Torin,10Pos_3
12,12,488.0,17.0,LC3-p62_HEK_dATG7_Torin_10Pos_3_AiryscanProcessing.czi,3.0,6896.058823529412,1342.8148825595915,0.0,1.0,91.11764705882356,29.851470552012124,1549.0,0.0,0.0,2,2,LC3-p62,dATG7,Torin,10Pos_3
13,13,488.0,26.0,LC3-p62_HEK_dATG7_Torin_10Pos_3_AiryscanProcessing.czi,3.0,6311.153846153847,834.0739867569397,0.0,2.0,80.80769230769229,36.552449144503825,2101.0,0.0,0.0,2,2,LC3-p62,dATG7,Torin,10Pos_3
14,14,488.0,34.0,LC3-p62_HEK_dATG7_Torin_10Pos_3_AiryscanProcessing.czi,4.0,6564.617647058823,1078.2638687205626,0.0,1.0,79.52941176470588,48.02918007875456,2704.0,0.0,0.0,1,1,LC3-p62,dATG7,Torin,10Pos_3
