Unnamed: 0,Unnamed: 0.1,channel,count,filename,im_number,intensity_mean,intensity_sd,overlap_count,parent_cell,vol_mean,vol_sd,vol_total,flagged_oof,flagged_z,n_cells,raw_cells,stains,cell_line,treatment,czi_id
0,0.0,488.0,6.0,LC3-p62_HEK_dFIP200_NoTreat_10Pos_1_AiryscanProcessing.czi,0.0,10732.666666666666,3289.7186303188105,0.0,1.0,524.1666666666666,1019.9247848085008,3145.0,0.0,0.0,2.0,2.0,LC3-p62,dFIP200,NoTreat,10Pos_1
1,1.0,488.0,10.0,LC3-p62_HEK_dFIP200_NoTreat_10Pos_1_AiryscanProcessing.czi,0.0,10150.4,2727.9340249435,0.0,2.0,267.4,586.4371141809571,2674.0,0.0,0.0,2.0,2.0,LC3-p62,dFIP200,NoTreat,10Pos_1
2,2.0,561.0,1.0,LC3-p62_HEK_dFIP200_NoTreat_10Pos_1_AiryscanProcessing.czi,0.0,18845.0,,0.0,2.0,863.0,,863.0,0.0,0.0,2.0,2.0,LC3-p62,dFIP200,NoTreat,10Pos_1
3,3.0,488.0,5.0,LC3-p62_HEK_dFIP200_NoTreat_10Pos_1_AiryscanProcessing.czi,1.0,12361.8,3867.207286919076,0.0,1.0,498.8,786.0723249167343,2494.0,0.0,0.0,2.0,2.0,LC3-p62,dFIP200,NoTreat,10Pos_1
4,4.0,488.0,9.0,LC3-p62_HEK_dFIP200_NoTreat_10Pos_1_AiryscanProcessing.czi,1.0,10738.444444444445,3649.193784629391,0.0,2.0,508.88888888888886,1179.5367146092194,4580.0,0.0,0.0,2.0,2.0,LC3-p62,dFIP200,NoTreat,10Pos_1
5,5.0,488.0,8.0,LC3-p62_HEK_dFIP200_NoTreat_10Pos_1_AiryscanProcessing.czi,2.0,10928.5,5264.683791888307,1.0,1.0,404.875,892.3761918928267,3239.0,0.0,0.0,2.0,2.0,LC3-p62,dFIP200,NoTreat,10Pos_1
6,6.0,488.0,7.0,LC3-p62_HEK_dFIP200_NoTreat_10Pos_1_AiryscanProcessing.czi,2.0,12209.142857142857,6075.18952869158,0.0,2.0,254.57142857142856,292.6390593335398,1782.0,0.0,0.0,2.0,2.0,LC3-p62,dFIP200,NoTreat,10Pos_1
7,7.0,561.0,1.0,LC3-p62_HEK_dFIP200_NoTreat_10Pos_1_AiryscanProcessing.czi,2.0,12105.0,,1.0,1.0,61.0,,61.0,0.0,0.0,2.0,2.0,LC3-p62,dFIP200,NoTreat,10Pos_1
8,8.0,561.0,1.0,LC3-p62_HEK_dFIP200_NoTreat_10Pos_1_AiryscanProcessing.czi,2.0,10516.0,,0.0,2.0,5.0,,5.0,0.0,0.0,2.0,2.0,LC3-p62,dFIP200,NoTreat,10Pos_1
9,9.0,488.0,10.0,LC3-p62_HEK_dFIP200_NoTreat_10Pos_1_AiryscanProcessing.czi,3.0,11256.8,4397.492790721145,0.0,1.0,263.1,464.6825559215428,2631.0,0.0,0.0,2.0,2.0,LC3-p62,dFIP200,NoTreat,10Pos_1
10,10.0,488.0,11.0,LC3-p62_HEK_dFIP200_NoTreat_10Pos_1_AiryscanProcessing.czi,3.0,10674.09090909091,3914.3367370359297,0.0,2.0,278.72727272727275,512.0998127141019,3066.0,0.0,0.0,2.0,2.0,LC3-p62,dFIP200,NoTreat,10Pos_1
11,11.0,488.0,2.0,LC3-p62_HEK_dFIP200_NoTreat_10Pos_1_AiryscanProcessing.czi,4.0,7763.5,194.45436482630055,0.0,1.0,78.5,6.363961030678928,157.0,0.0,0.0,3.0,3.0,LC3-p62,dFIP200,NoTreat,10Pos_1
12,12.0,488.0,17.0,LC3-p62_HEK_dFIP200_NoTreat_10Pos_1_AiryscanProcessing.czi,4.0,12849.294117647061,5023.613736205068,0.0,2.0,444.2352941176471,787.8968467867293,7552.0,0.0,0.0,3.0,3.0,LC3-p62,dFIP200,NoTreat,10Pos_1
