Unnamed: 0,Unnamed: 0.1,488_only_foci,488_overlap_foci,488_total_foci,561_only_foci,561_overlap_foci,561_total_foci,cell,filename,flagged_oof,flagged_z,im_n_cells,im_raw_cells,image,stains,cell_line,treatment,czi_id
0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Stx17-GFP_dFIP200_Tor_10Pos_2_finalconditions_reducedGFP_488.568_AiryscanProcessing.czi,0.0,0.0,2.0,2.0,1.0,Stx17-GFP,dFIP200,Tor,2
1,1,0.0,0.0,0.0,1.0,0.0,1.0,2.0,Stx17-GFP_dFIP200_Tor_10Pos_2_finalconditions_reducedGFP_488.568_AiryscanProcessing.czi,0.0,0.0,2.0,2.0,1.0,Stx17-GFP,dFIP200,Tor,2
2,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Stx17-GFP_dFIP200_Tor_10Pos_2_finalconditions_reducedGFP_488.568_AiryscanProcessing.czi,0.0,1.0,1.0,1.0,2.0,Stx17-GFP,dFIP200,Tor,2
3,3,1.0,0.0,1.0,3.0,0.0,3.0,1.0,Stx17-GFP_dFIP200_Tor_10Pos_2_finalconditions_reducedGFP_488.568_AiryscanProcessing.czi,0.0,0.0,2.0,2.0,3.0,Stx17-GFP,dFIP200,Tor,2
4,4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Stx17-GFP_dFIP200_Tor_10Pos_2_finalconditions_reducedGFP_488.568_AiryscanProcessing.czi,0.0,0.0,2.0,2.0,3.0,Stx17-GFP,dFIP200,Tor,2
5,5,31.0,0.0,31.0,10.0,0.0,10.0,1.0,Stx17-GFP_dFIP200_Tor_10Pos_2_finalconditions_reducedGFP_488.568_AiryscanProcessing.czi,1.0,0.0,2.0,3.0,4.0,Stx17-GFP,dFIP200,Tor,2
6,6,2.0,0.0,2.0,1.0,0.0,1.0,2.0,Stx17-GFP_dFIP200_Tor_10Pos_2_finalconditions_reducedGFP_488.568_AiryscanProcessing.czi,1.0,0.0,2.0,3.0,4.0,Stx17-GFP,dFIP200,Tor,2
7,7,1.0,0.0,1.0,1.0,0.0,1.0,1.0,Stx17-GFP_dFIP200_Tor_10Pos_2_finalconditions_reducedGFP_488.568_AiryscanProcessing.czi,0.0,0.0,2.0,2.0,5.0,Stx17-GFP,dFIP200,Tor,2
8,8,1.0,0.0,1.0,1.0,0.0,1.0,2.0,Stx17-GFP_dFIP200_Tor_10Pos_2_finalconditions_reducedGFP_488.568_AiryscanProcessing.czi,0.0,0.0,2.0,2.0,5.0,Stx17-GFP,dFIP200,Tor,2
9,9,0.0,0.0,0.0,2.0,0.0,2.0,1.0,Stx17-GFP_dFIP200_Tor_10Pos_2_finalconditions_reducedGFP_488.568_AiryscanProcessing.czi,0.0,0.0,4.0,4.0,6.0,Stx17-GFP,dFIP200,Tor,2
10,10,1.0,0.0,1.0,0.0,0.0,0.0,2.0,Stx17-GFP_dFIP200_Tor_10Pos_2_finalconditions_reducedGFP_488.568_AiryscanProcessing.czi,0.0,0.0,4.0,4.0,6.0,Stx17-GFP,dFIP200,Tor,2
11,11,0.0,0.0,0.0,0.0,0.0,0.0,3.0,Stx17-GFP_dFIP200_Tor_10Pos_2_finalconditions_reducedGFP_488.568_AiryscanProcessing.czi,0.0,0.0,4.0,4.0,6.0,Stx17-GFP,dFIP200,Tor,2
12,12,0.0,0.0,0.0,1.0,0.0,1.0,4.0,Stx17-GFP_dFIP200_Tor_10Pos_2_finalconditions_reducedGFP_488.568_AiryscanProcessing.czi,0.0,0.0,4.0,4.0,6.0,Stx17-GFP,dFIP200,Tor,2
