Unnamed: 0,Unnamed: 0.1,channel,count,filename,im_number,intensity_mean,intensity_sd,overlap_count,parent_cell,vol_mean,vol_sd,vol_total,flagged_oof,flagged_z,n_cells,raw_cells,stains,cell_line,treatment,czi_id
0,0,488.0,18,Stx17-GFP_dAtg7_Tor_10Pos_finalconditions_reducedGFP_488.568_AiryscanProcessing.czi,0.0,9209.555555555555,2681.733114374364,0.0,1.0,299.3333333333333,228.3428794340548,5388.0,0.0,0.0,2,2,Stx17-GFP,dAtg7,Tor,10Pos_finalconditions
1,1,488.0,18,Stx17-GFP_dAtg7_Tor_10Pos_finalconditions_reducedGFP_488.568_AiryscanProcessing.czi,0.0,8954.388888888889,1969.7425074744247,0.0,2.0,238.11111111111111,187.31881878039118,4286.0,0.0,0.0,2,2,Stx17-GFP,dAtg7,Tor,10Pos_finalconditions
2,2,488.0,4,Stx17-GFP_dAtg7_Tor_10Pos_finalconditions_reducedGFP_488.568_AiryscanProcessing.czi,1.0,7211.0,120.12216004273873,0.0,1.0,393.75,246.10888511659496,1575.0,0.0,0.0,1,1,Stx17-GFP,dAtg7,Tor,10Pos_finalconditions
3,3,488.0,10,Stx17-GFP_dAtg7_Tor_10Pos_finalconditions_reducedGFP_488.568_AiryscanProcessing.czi,2.0,7762.4,495.63207680249633,0.0,1.0,221.8,184.03610756829457,2218.0,0.0,0.0,2,2,Stx17-GFP,dAtg7,Tor,10Pos_finalconditions
4,4,488.0,11,Stx17-GFP_dAtg7_Tor_10Pos_finalconditions_reducedGFP_488.568_AiryscanProcessing.czi,2.0,7227.727272727273,209.41446507301777,0.0,2.0,95.0,97.31700776328873,1045.0,0.0,0.0,2,2,Stx17-GFP,dAtg7,Tor,10Pos_finalconditions
5,5,561.0,1,Stx17-GFP_dAtg7_Tor_10Pos_finalconditions_reducedGFP_488.568_AiryscanProcessing.czi,2.0,7429.0,,0.0,2.0,23.0,,23.0,0.0,0.0,2,2,Stx17-GFP,dAtg7,Tor,10Pos_finalconditions
6,6,488.0,14,Stx17-GFP_dAtg7_Tor_10Pos_finalconditions_reducedGFP_488.568_AiryscanProcessing.czi,3.0,7398.928571428572,593.5165689198724,0.0,1.0,147.64285714285714,140.15848564714554,2067.0,0.0,0.0,4,4,Stx17-GFP,dAtg7,Tor,10Pos_finalconditions
7,7,488.0,7,Stx17-GFP_dAtg7_Tor_10Pos_finalconditions_reducedGFP_488.568_AiryscanProcessing.czi,3.0,7589.7142857142835,704.2969814611148,0.0,2.0,562.2857142857143,501.0973672137696,3936.0,0.0,0.0,4,4,Stx17-GFP,dAtg7,Tor,10Pos_finalconditions
8,8,488.0,11,Stx17-GFP_dAtg7_Tor_10Pos_finalconditions_reducedGFP_488.568_AiryscanProcessing.czi,3.0,7573.090909090909,652.9740354019376,0.0,3.0,207.9090909090909,193.5765763440683,2287.0,0.0,0.0,4,4,Stx17-GFP,dAtg7,Tor,10Pos_finalconditions
9,9,488.0,14,Stx17-GFP_dAtg7_Tor_10Pos_finalconditions_reducedGFP_488.568_AiryscanProcessing.czi,3.0,7626.7142857142835,650.4707678137579,0.0,4.0,156.0,78.35815209663893,2184.0,0.0,0.0,4,4,Stx17-GFP,dAtg7,Tor,10Pos_finalconditions
10,10,561.0,1,Stx17-GFP_dAtg7_Tor_10Pos_finalconditions_reducedGFP_488.568_AiryscanProcessing.czi,3.0,9104.0,,0.0,2.0,83.0,,83.0,0.0,0.0,4,4,Stx17-GFP,dAtg7,Tor,10Pos_finalconditions
11,11,488.0,36,Stx17-GFP_dAtg7_Tor_10Pos_finalconditions_reducedGFP_488.568_AiryscanProcessing.czi,4.0,9448.444444444445,1793.4563030949796,0.0,1.0,217.5555555555556,192.14301882332254,7832.0,0.0,0.0,2,2,Stx17-GFP,dAtg7,Tor,10Pos_finalconditions
12,12,488.0,24,Stx17-GFP_dAtg7_Tor_10Pos_finalconditions_reducedGFP_488.568_AiryscanProcessing.czi,4.0,9238.125,2223.5310209410072,0.0,2.0,284.8333333333333,317.09053249364206,6836.0,0.0,0.0,2,2,Stx17-GFP,dAtg7,Tor,10Pos_finalconditions
13,13,561.0,1,Stx17-GFP_dAtg7_Tor_10Pos_finalconditions_reducedGFP_488.568_AiryscanProcessing.czi,4.0,8202.0,,0.0,2.0,46.0,,46.0,0.0,0.0,2,2,Stx17-GFP,dAtg7,Tor,10Pos_finalconditions
14,14,488.0,16,Stx17-GFP_dAtg7_Tor_10Pos_finalconditions_reducedGFP_488.568_AiryscanProcessing.czi,5.0,7829.625,993.5478431694504,0.0,1.0,179.4375,111.53712012898069,2871.0,1.0,0.0,2,3,Stx17-GFP,dAtg7,Tor,10Pos_finalconditions
15,15,488.0,15,Stx17-GFP_dAtg7_Tor_10Pos_finalconditions_reducedGFP_488.568_AiryscanProcessing.czi,5.0,8826.8,1463.6746418322814,0.0,2.0,264.26666666666665,217.9536211040802,3964.0,1.0,0.0,2,3,Stx17-GFP,dAtg7,Tor,10Pos_finalconditions
16,16,488.0,5,Stx17-GFP_dAtg7_Tor_10Pos_finalconditions_reducedGFP_488.568_AiryscanProcessing.czi,5.0,8735.0,1288.9730408352225,0.0,65535.0,181.6,144.33052345224831,908.0,1.0,0.0,2,3,Stx17-GFP,dAtg7,Tor,10Pos_finalconditions
17,17,561.0,1,Stx17-GFP_dAtg7_Tor_10Pos_finalconditions_reducedGFP_488.568_AiryscanProcessing.czi,5.0,6552.0,,0.0,1.0,5.0,,5.0,1.0,0.0,2,3,Stx17-GFP,dAtg7,Tor,10Pos_finalconditions
18,18,488.0,5,Stx17-GFP_dAtg7_Tor_10Pos_finalconditions_reducedGFP_488.568_AiryscanProcessing.czi,6.0,7347.8,822.7178738790108,0.0,1.0,72.4,91.39365404665686,362.0,0.0,1.0,4,4,Stx17-GFP,dAtg7,Tor,10Pos_finalconditions
19,19,488.0,7,Stx17-GFP_dAtg7_Tor_10Pos_finalconditions_reducedGFP_488.568_AiryscanProcessing.czi,6.0,7699.428571428572,955.2151340828683,0.0,2.0,248.14285714285717,126.1036988241933,1737.0,0.0,1.0,4,4,Stx17-GFP,dAtg7,Tor,10Pos_finalconditions
20,20,488.0,8,Stx17-GFP_dAtg7_Tor_10Pos_finalconditions_reducedGFP_488.568_AiryscanProcessing.czi,6.0,7399.125,605.8327061632963,0.0,3.0,289.875,542.7713113536597,2319.0,0.0,1.0,4,4,Stx17-GFP,dAtg7,Tor,10Pos_finalconditions
21,21,488.0,11,Stx17-GFP_dAtg7_Tor_10Pos_finalconditions_reducedGFP_488.568_AiryscanProcessing.czi,6.0,7326.727272727273,772.9476167126842,0.0,4.0,461.1818181818182,667.4154355694537,5073.0,0.0,1.0,4,4,Stx17-GFP,dAtg7,Tor,10Pos_finalconditions
22,22,561.0,1,Stx17-GFP_dAtg7_Tor_10Pos_finalconditions_reducedGFP_488.568_AiryscanProcessing.czi,6.0,7256.0,,0.0,4.0,60.0,,60.0,0.0,1.0,4,4,Stx17-GFP,dAtg7,Tor,10Pos_finalconditions
23,23,488.0,25,Stx17-GFP_dAtg7_Tor_10Pos_finalconditions_reducedGFP_488.568_AiryscanProcessing.czi,7.0,7260.0,1395.374800307549,0.0,1.0,149.12,63.45885806305268,3728.0,0.0,0.0,2,2,Stx17-GFP,dAtg7,Tor,10Pos_finalconditions
24,24,488.0,27,Stx17-GFP_dAtg7_Tor_10Pos_finalconditions_reducedGFP_488.568_AiryscanProcessing.czi,7.0,9978.074074074077,3123.929538823301,0.0,2.0,206.59259259259255,107.76158130130794,5578.0,0.0,0.0,2,2,Stx17-GFP,dAtg7,Tor,10Pos_finalconditions
25,25,561.0,1,Stx17-GFP_dAtg7_Tor_10Pos_finalconditions_reducedGFP_488.568_AiryscanProcessing.czi,8.0,8099.0,,0.0,1.0,21.0,,21.0,0.0,1.0,2,2,Stx17-GFP,dAtg7,Tor,10Pos_finalconditions
26,26,488.0,1,Stx17-GFP_dAtg7_Tor_10Pos_finalconditions_reducedGFP_488.568_AiryscanProcessing.czi,9.0,8947.0,,0.0,1.0,298.0,,298.0,0.0,1.0,6,6,Stx17-GFP,dAtg7,Tor,10Pos_finalconditions
27,27,488.0,20,Stx17-GFP_dAtg7_Tor_10Pos_finalconditions_reducedGFP_488.568_AiryscanProcessing.czi,9.0,8592.05,1432.144967485742,0.0,2.0,306.75,353.2057511303843,6135.0,0.0,1.0,6,6,Stx17-GFP,dAtg7,Tor,10Pos_finalconditions
28,28,488.0,31,Stx17-GFP_dAtg7_Tor_10Pos_finalconditions_reducedGFP_488.568_AiryscanProcessing.czi,9.0,8821.451612903225,578.6632779495445,0.0,3.0,160.1290322580645,175.166918858458,4964.0,0.0,1.0,6,6,Stx17-GFP,dAtg7,Tor,10Pos_finalconditions
29,29,488.0,2,Stx17-GFP_dAtg7_Tor_10Pos_finalconditions_reducedGFP_488.568_AiryscanProcessing.czi,9.0,8536.0,694.3788591251898,0.0,4.0,126.5,16.263455967290593,253.0,0.0,1.0,6,6,Stx17-GFP,dAtg7,Tor,10Pos_finalconditions
30,30,561.0,1,Stx17-GFP_dAtg7_Tor_10Pos_finalconditions_reducedGFP_488.568_AiryscanProcessing.czi,9.0,6915.0,,0.0,3.0,25.0,,25.0,0.0,1.0,6,6,Stx17-GFP,dAtg7,Tor,10Pos_finalconditions
31,31,561.0,1,Stx17-GFP_dAtg7_Tor_10Pos_finalconditions_reducedGFP_488.568_AiryscanProcessing.czi,9.0,8027.0,,0.0,5.0,5.0,,5.0,0.0,1.0,6,6,Stx17-GFP,dAtg7,Tor,10Pos_finalconditions
32,32,561.0,0,Stx17-GFP_dAtg7_Tor_10Pos_finalconditions_reducedGFP_488.568_AiryscanProcessing.czi,0.0,,,,1.0,,,,0.0,0.0,2,2,Stx17-GFP,dAtg7,Tor,10Pos_finalconditions
33,33,561.0,0,Stx17-GFP_dAtg7_Tor_10Pos_finalconditions_reducedGFP_488.568_AiryscanProcessing.czi,0.0,,,,2.0,,,,0.0,0.0,2,2,Stx17-GFP,dAtg7,Tor,10Pos_finalconditions
34,34,561.0,0,Stx17-GFP_dAtg7_Tor_10Pos_finalconditions_reducedGFP_488.568_AiryscanProcessing.czi,1.0,,,,1.0,,,,0.0,0.0,1,1,Stx17-GFP,dAtg7,Tor,10Pos_finalconditions
35,35,561.0,0,Stx17-GFP_dAtg7_Tor_10Pos_finalconditions_reducedGFP_488.568_AiryscanProcessing.czi,2.0,,,,1.0,,,,0.0,0.0,2,2,Stx17-GFP,dAtg7,Tor,10Pos_finalconditions
36,36,561.0,0,Stx17-GFP_dAtg7_Tor_10Pos_finalconditions_reducedGFP_488.568_AiryscanProcessing.czi,3.0,,,,1.0,,,,0.0,0.0,4,4,Stx17-GFP,dAtg7,Tor,10Pos_finalconditions
37,37,561.0,0,Stx17-GFP_dAtg7_Tor_10Pos_finalconditions_reducedGFP_488.568_AiryscanProcessing.czi,3.0,,,,3.0,,,,0.0,0.0,4,4,Stx17-GFP,dAtg7,Tor,10Pos_finalconditions
38,38,561.0,0,Stx17-GFP_dAtg7_Tor_10Pos_finalconditions_reducedGFP_488.568_AiryscanProcessing.czi,3.0,,,,4.0,,,,0.0,0.0,4,4,Stx17-GFP,dAtg7,Tor,10Pos_finalconditions
39,39,561.0,0,Stx17-GFP_dAtg7_Tor_10Pos_finalconditions_reducedGFP_488.568_AiryscanProcessing.czi,4.0,,,,1.0,,,,0.0,0.0,2,2,Stx17-GFP,dAtg7,Tor,10Pos_finalconditions
40,40,561.0,0,Stx17-GFP_dAtg7_Tor_10Pos_finalconditions_reducedGFP_488.568_AiryscanProcessing.czi,5.0,,,,2.0,,,,1.0,0.0,2,3,Stx17-GFP,dAtg7,Tor,10Pos_finalconditions
41,41,561.0,0,Stx17-GFP_dAtg7_Tor_10Pos_finalconditions_reducedGFP_488.568_AiryscanProcessing.czi,6.0,,,,1.0,,,,0.0,1.0,4,4,Stx17-GFP,dAtg7,Tor,10Pos_finalconditions
42,42,561.0,0,Stx17-GFP_dAtg7_Tor_10Pos_finalconditions_reducedGFP_488.568_AiryscanProcessing.czi,6.0,,,,2.0,,,,0.0,1.0,4,4,Stx17-GFP,dAtg7,Tor,10Pos_finalconditions
43,43,561.0,0,Stx17-GFP_dAtg7_Tor_10Pos_finalconditions_reducedGFP_488.568_AiryscanProcessing.czi,6.0,,,,3.0,,,,0.0,1.0,4,4,Stx17-GFP,dAtg7,Tor,10Pos_finalconditions
44,44,561.0,0,Stx17-GFP_dAtg7_Tor_10Pos_finalconditions_reducedGFP_488.568_AiryscanProcessing.czi,7.0,,,,1.0,,,,0.0,0.0,2,2,Stx17-GFP,dAtg7,Tor,10Pos_finalconditions
45,45,561.0,0,Stx17-GFP_dAtg7_Tor_10Pos_finalconditions_reducedGFP_488.568_AiryscanProcessing.czi,7.0,,,,2.0,,,,0.0,0.0,2,2,Stx17-GFP,dAtg7,Tor,10Pos_finalconditions
