Unnamed: 0,Unnamed: 0.1,channel,count,filename,im_number,intensity_mean,intensity_sd,overlap_count,parent_cell,vol_mean,vol_sd,vol_total,flagged_oof,flagged_z,n_cells,raw_cells,stains,cell_line,treatment,czi_id
0,0,488.0,31.0,LC3-WIPI_HEK_wt_Torin_position15_AiryscanProcessing.czi,0.0,6141.032258064517,1179.6337986530953,16.0,1.0,62.645161290322584,45.68190625553825,1942.0,0.0,0.0,2,2,LC3-WIPI,wt,Torin,position15
1,1,488.0,48.0,LC3-WIPI_HEK_wt_Torin_position15_AiryscanProcessing.czi,0.0,6856.333333333332,1690.762642140149,23.0,2.0,68.875,40.169653518916334,3306.0,0.0,0.0,2,2,LC3-WIPI,wt,Torin,position15
2,2,561.0,85.0,LC3-WIPI_HEK_wt_Torin_position15_AiryscanProcessing.czi,0.0,7122.117647058823,1732.461676974378,15.0,1.0,144.08235294117648,75.3191956442247,12247.0,0.0,0.0,2,2,LC3-WIPI,wt,Torin,position15
3,3,561.0,110.0,LC3-WIPI_HEK_wt_Torin_position15_AiryscanProcessing.czi,0.0,7647.045454545455,2055.7857061169,24.0,2.0,164.11818181818182,122.50974361685505,18053.0,0.0,0.0,2,2,LC3-WIPI,wt,Torin,position15
0,0,488.0,6.0,LC3-WIPI_HEK_wt_Torin_23pos_AiryscanProcessing.czi,0.0,6515.166666666668,1854.5735268968624,4.0,1.0,87.5,63.90539883296247,525.0,0.0,1.0,4,4,LC3-WIPI,wt,Torin,23pos
1,1,488.0,15.0,LC3-WIPI_HEK_wt_Torin_23pos_AiryscanProcessing.czi,0.0,5548.333333333332,1120.2303759665222,9.0,2.0,50.06666666666667,42.009296023391684,751.0,0.0,1.0,4,4,LC3-WIPI,wt,Torin,23pos
2,2,488.0,12.0,LC3-WIPI_HEK_wt_Torin_23pos_AiryscanProcessing.czi,0.0,6028.833333333332,1453.4760737520576,7.0,3.0,65.16666666666667,60.93041236948222,782.0,0.0,1.0,4,4,LC3-WIPI,wt,Torin,23pos
3,3,488.0,7.0,LC3-WIPI_HEK_wt_Torin_23pos_AiryscanProcessing.czi,0.0,7283.857142857143,2506.464470695155,3.0,4.0,85.85714285714286,61.97157566559196,601.0,0.0,1.0,4,4,LC3-WIPI,wt,Torin,23pos
4,4,561.0,29.0,LC3-WIPI_HEK_wt_Torin_23pos_AiryscanProcessing.czi,0.0,6555.137931034483,1970.8274318188928,4.0,1.0,130.6206896551724,102.8301004407282,3788.0,0.0,1.0,4,4,LC3-WIPI,wt,Torin,23pos
5,5,561.0,44.0,LC3-WIPI_HEK_wt_Torin_23pos_AiryscanProcessing.czi,0.0,7379.431818181818,2792.053244625633,8.0,2.0,142.22727272727272,91.90790730370891,6258.0,0.0,1.0,4,4,LC3-WIPI,wt,Torin,23pos
6,6,561.0,48.0,LC3-WIPI_HEK_wt_Torin_23pos_AiryscanProcessing.czi,0.0,6235.6875,1455.1538656122875,7.0,3.0,117.83333333333331,70.05934667649699,5656.0,0.0,1.0,4,4,LC3-WIPI,wt,Torin,23pos
7,7,561.0,50.0,LC3-WIPI_HEK_wt_Torin_23pos_AiryscanProcessing.czi,0.0,6607.18,1951.012104586975,3.0,4.0,143.0,103.48321366387924,7150.0,0.0,1.0,4,4,LC3-WIPI,wt,Torin,23pos
8,8,488.0,15.0,LC3-WIPI_HEK_wt_Torin_23pos_AiryscanProcessing.czi,1.0,5566.8,914.1441118023224,5.0,1.0,40.86666666666667,31.780197488073487,613.0,0.0,1.0,2,2,LC3-WIPI,wt,Torin,23pos
9,9,488.0,9.0,LC3-WIPI_HEK_wt_Torin_23pos_AiryscanProcessing.czi,1.0,6223.444444444444,1226.5008266518932,2.0,2.0,60.33333333333334,55.44591959738786,543.0,0.0,1.0,2,2,LC3-WIPI,wt,Torin,23pos
10,10,561.0,54.0,LC3-WIPI_HEK_wt_Torin_23pos_AiryscanProcessing.czi,1.0,7207.0,2021.8571138137445,5.0,1.0,172.83333333333337,111.0917944424917,9333.0,0.0,1.0,2,2,LC3-WIPI,wt,Torin,23pos
11,11,561.0,87.0,LC3-WIPI_HEK_wt_Torin_23pos_AiryscanProcessing.czi,1.0,7054.16091954023,1859.2362327452188,2.0,2.0,174.11494252873558,105.5200218284791,15148.0,0.0,1.0,2,2,LC3-WIPI,wt,Torin,23pos
12,12,488.0,14.0,LC3-WIPI_HEK_wt_Torin_23pos_AiryscanProcessing.czi,2.0,6434.5,2107.6401586754646,3.0,1.0,67.92857142857143,54.11592156688239,951.0,0.0,0.0,2,2,LC3-WIPI,wt,Torin,23pos
13,13,488.0,15.0,LC3-WIPI_HEK_wt_Torin_23pos_AiryscanProcessing.czi,2.0,6156.333333333332,1763.2434669691886,7.0,2.0,66.0,51.01960407529639,990.0,0.0,0.0,2,2,LC3-WIPI,wt,Torin,23pos
14,14,561.0,68.0,LC3-WIPI_HEK_wt_Torin_23pos_AiryscanProcessing.czi,2.0,6411.426470588235,1901.556348560709,3.0,1.0,110.33823529411764,64.36825264894286,7503.0,0.0,0.0,2,2,LC3-WIPI,wt,Torin,23pos
15,15,561.0,64.0,LC3-WIPI_HEK_wt_Torin_23pos_AiryscanProcessing.czi,2.0,6759.359375,1838.9204766909447,6.0,2.0,145.53125,115.43375324786459,9314.0,0.0,0.0,2,2,LC3-WIPI,wt,Torin,23pos
16,16,488.0,18.0,LC3-WIPI_HEK_wt_Torin_23pos_AiryscanProcessing.czi,3.0,5986.055555555556,1134.3710085185182,12.0,1.0,63.27777777777778,34.951740772192395,1139.0,0.0,1.0,5,5,LC3-WIPI,wt,Torin,23pos
17,17,488.0,33.0,LC3-WIPI_HEK_wt_Torin_23pos_AiryscanProcessing.czi,3.0,6224.393939393939,1920.4435512954087,15.0,2.0,61.54545454545455,39.268380178181296,2031.0,0.0,1.0,5,5,LC3-WIPI,wt,Torin,23pos
18,18,488.0,6.0,LC3-WIPI_HEK_wt_Torin_23pos_AiryscanProcessing.czi,3.0,5324.0,713.1100896776038,4.0,3.0,69.83333333333333,61.26472612088188,419.0,0.0,1.0,5,5,LC3-WIPI,wt,Torin,23pos
19,19,488.0,2.0,LC3-WIPI_HEK_wt_Torin_23pos_AiryscanProcessing.czi,3.0,6162.0,1189.353605955773,2.0,4.0,84.0,53.74011537017761,168.0,0.0,1.0,5,5,LC3-WIPI,wt,Torin,23pos
20,20,488.0,20.0,LC3-WIPI_HEK_wt_Torin_23pos_AiryscanProcessing.czi,3.0,5792.9,1542.4819336995404,14.0,5.0,51.4,35.57704759798758,1028.0,0.0,1.0,5,5,LC3-WIPI,wt,Torin,23pos
21,21,561.0,92.0,LC3-WIPI_HEK_wt_Torin_23pos_AiryscanProcessing.czi,3.0,6484.619565217391,1485.030534650303,12.0,1.0,149.54347826086956,90.67808209476057,13758.0,0.0,1.0,5,5,LC3-WIPI,wt,Torin,23pos
22,22,561.0,92.0,LC3-WIPI_HEK_wt_Torin_23pos_AiryscanProcessing.czi,3.0,6429.391304347826,1637.4140088588074,14.0,2.0,161.6413043478261,96.75022577385012,14871.0,0.0,1.0,5,5,LC3-WIPI,wt,Torin,23pos
23,23,561.0,64.0,LC3-WIPI_HEK_wt_Torin_23pos_AiryscanProcessing.czi,3.0,7727.53125,2997.3647259876866,6.0,3.0,148.796875,69.17132621998617,9523.0,0.0,1.0,5,5,LC3-WIPI,wt,Torin,23pos
24,24,561.0,13.0,LC3-WIPI_HEK_wt_Torin_23pos_AiryscanProcessing.czi,3.0,7197.846153846153,1783.056123913558,1.0,4.0,216.3076923076923,158.75367954548568,2812.0,0.0,1.0,5,5,LC3-WIPI,wt,Torin,23pos
25,25,561.0,153.0,LC3-WIPI_HEK_wt_Torin_23pos_AiryscanProcessing.czi,3.0,6682.16339869281,1889.940549947469,13.0,5.0,142.22875816993462,95.97289205620471,21761.0,0.0,1.0,5,5,LC3-WIPI,wt,Torin,23pos
26,26,488.0,19.0,LC3-WIPI_HEK_wt_Torin_23pos_AiryscanProcessing.czi,4.0,6468.4736842105285,980.9406125653668,15.0,1.0,72.26315789473685,47.34253678747775,1373.0,0.0,0.0,2,2,LC3-WIPI,wt,Torin,23pos
27,27,488.0,10.0,LC3-WIPI_HEK_wt_Torin_23pos_AiryscanProcessing.czi,4.0,6677.1,946.8779635083804,5.0,2.0,70.7,29.450712121177048,707.0,0.0,0.0,2,2,LC3-WIPI,wt,Torin,23pos
28,28,561.0,87.0,LC3-WIPI_HEK_wt_Torin_23pos_AiryscanProcessing.czi,4.0,8130.586206896552,2375.791777696507,13.0,1.0,166.22988505747125,117.6735434047454,14462.0,0.0,0.0,2,2,LC3-WIPI,wt,Torin,23pos
29,29,561.0,65.0,LC3-WIPI_HEK_wt_Torin_23pos_AiryscanProcessing.czi,4.0,8406.061538461538,3598.726345341341,5.0,2.0,211.4615384615384,145.43545356564937,13745.0,0.0,0.0,2,2,LC3-WIPI,wt,Torin,23pos
