Unnamed: 0,Unnamed: 0.1,488_only_foci,488_overlap_foci,488_total_foci,561_only_foci,561_overlap_foci,561_total_foci,cell,filename,flagged_oof,flagged_z,im_n_cells,im_raw_cells,image,stains,cell_line,treatment,czi_id
0,0,17.0,16.0,33.0,70.0,15.0,85.0,1.0,LC3-WIPI_HEK_wt_Torin_position15_AiryscanProcessing.czi,0.0,0.0,2.0,2.0,1.0,LC3-WIPI,wt,Torin,position15
1,1,27.0,24.0,51.0,86.0,24.0,110.0,2.0,LC3-WIPI_HEK_wt_Torin_position15_AiryscanProcessing.czi,0.0,0.0,2.0,2.0,1.0,LC3-WIPI,wt,Torin,position15
0,0,6.0,5.0,11.0,35.0,4.0,39.0,1.0,LC3-WIPI_HEK_dVPS37A_NoTreat_15pos_Airyscan Processing.czi,0.0,0.0,2.0,2.0,1.0,LC3-WIPI,dVPS37A,NoTreat,15pos
1,1,8.0,2.0,10.0,24.0,2.0,26.0,2.0,LC3-WIPI_HEK_dVPS37A_NoTreat_15pos_Airyscan Processing.czi,0.0,0.0,2.0,2.0,1.0,LC3-WIPI,dVPS37A,NoTreat,15pos
2,2,7.0,11.0,18.0,31.0,13.0,44.0,1.0,LC3-WIPI_HEK_dVPS37A_NoTreat_15pos_Airyscan Processing.czi,0.0,0.0,2.0,2.0,2.0,LC3-WIPI,dVPS37A,NoTreat,15pos
3,3,7.0,9.0,16.0,37.0,9.0,46.0,2.0,LC3-WIPI_HEK_dVPS37A_NoTreat_15pos_Airyscan Processing.czi,0.0,0.0,2.0,2.0,2.0,LC3-WIPI,dVPS37A,NoTreat,15pos
4,4,4.0,1.0,5.0,13.0,1.0,14.0,1.0,LC3-WIPI_HEK_dVPS37A_NoTreat_15pos_Airyscan Processing.czi,0.0,0.0,3.0,3.0,3.0,LC3-WIPI,dVPS37A,NoTreat,15pos
5,5,9.0,11.0,20.0,61.0,11.0,72.0,2.0,LC3-WIPI_HEK_dVPS37A_NoTreat_15pos_Airyscan Processing.czi,0.0,0.0,3.0,3.0,3.0,LC3-WIPI,dVPS37A,NoTreat,15pos
6,6,10.0,13.0,23.0,37.0,12.0,49.0,3.0,LC3-WIPI_HEK_dVPS37A_NoTreat_15pos_Airyscan Processing.czi,0.0,0.0,3.0,3.0,3.0,LC3-WIPI,dVPS37A,NoTreat,15pos
7,7,3.0,2.0,5.0,30.0,2.0,32.0,1.0,LC3-WIPI_HEK_dVPS37A_NoTreat_15pos_Airyscan Processing.czi,0.0,0.0,2.0,2.0,4.0,LC3-WIPI,dVPS37A,NoTreat,15pos
8,8,7.0,2.0,9.0,40.0,2.0,42.0,2.0,LC3-WIPI_HEK_dVPS37A_NoTreat_15pos_Airyscan Processing.czi,0.0,0.0,2.0,2.0,4.0,LC3-WIPI,dVPS37A,NoTreat,15pos
9,9,13.0,1.0,14.0,32.0,1.0,33.0,1.0,LC3-WIPI_HEK_dVPS37A_NoTreat_15pos_Airyscan Processing.czi,0.0,0.0,2.0,2.0,5.0,LC3-WIPI,dVPS37A,NoTreat,15pos
