Unnamed: 0,Unnamed: 0.1,488_only_foci,488_overlap_foci,488_total_foci,561_only_foci,561_overlap_foci,561_total_foci,cell,filename,flagged_oof,flagged_z,im_n_cells,im_raw_cells,image,stains,cell_line,treatment,czi_id
0,0,4.0,57.0,61.0,25.0,57.0,82.0,1.0,LC3-WIPI_HEK_dTMEM_NoTreat_1pos_replacementpos9_AiryscanProcessing.czi,0.0,1.0,2.0,2.0,1.0,LC3-WIPI,dTMEM,NoTreat,replacementpos9
1,1,3.0,50.0,53.0,19.0,48.0,67.0,2.0,LC3-WIPI_HEK_dTMEM_NoTreat_1pos_replacementpos9_AiryscanProcessing.czi,0.0,1.0,2.0,2.0,1.0,LC3-WIPI,dTMEM,NoTreat,replacementpos9
0,0,23.0,0.0,23.0,13.0,0.0,13.0,1.0,LC3-WIPI_HEK_dTMEM+dFIP200_NoTreat_10pos_AiryscanProcessing.czi,0.0,0.0,2.0,2.0,1.0,LC3-WIPI,dTMEM+dFIP200,NoTreat,AiryscanProcessing.czi
1,1,27.0,0.0,27.0,21.0,0.0,21.0,2.0,LC3-WIPI_HEK_dTMEM+dFIP200_NoTreat_10pos_AiryscanProcessing.czi,0.0,0.0,2.0,2.0,1.0,LC3-WIPI,dTMEM+dFIP200,NoTreat,AiryscanProcessing.czi
2,2,30.0,0.0,30.0,2.0,0.0,2.0,1.0,LC3-WIPI_HEK_dTMEM+dFIP200_NoTreat_10pos_AiryscanProcessing.czi,1.0,0.0,3.0,4.0,2.0,LC3-WIPI,dTMEM+dFIP200,NoTreat,AiryscanProcessing.czi
3,3,20.0,0.0,20.0,3.0,0.0,3.0,2.0,LC3-WIPI_HEK_dTMEM+dFIP200_NoTreat_10pos_AiryscanProcessing.czi,1.0,0.0,3.0,4.0,2.0,LC3-WIPI,dTMEM+dFIP200,NoTreat,AiryscanProcessing.czi
4,4,10.0,0.0,10.0,13.0,0.0,13.0,3.0,LC3-WIPI_HEK_dTMEM+dFIP200_NoTreat_10pos_AiryscanProcessing.czi,1.0,0.0,3.0,4.0,2.0,LC3-WIPI,dTMEM+dFIP200,NoTreat,AiryscanProcessing.czi
5,5,3.0,0.0,3.0,1.0,0.0,1.0,1.0,LC3-WIPI_HEK_dTMEM+dFIP200_NoTreat_10pos_AiryscanProcessing.czi,0.0,1.0,3.0,2.0,3.0,LC3-WIPI,dTMEM+dFIP200,NoTreat,AiryscanProcessing.czi
6,6,7.0,0.0,7.0,2.0,0.0,2.0,2.0,LC3-WIPI_HEK_dTMEM+dFIP200_NoTreat_10pos_AiryscanProcessing.czi,0.0,1.0,3.0,2.0,3.0,LC3-WIPI,dTMEM+dFIP200,NoTreat,AiryscanProcessing.czi
7,7,9.0,0.0,9.0,0.0,0.0,0.0,3.0,LC3-WIPI_HEK_dTMEM+dFIP200_NoTreat_10pos_AiryscanProcessing.czi,0.0,1.0,3.0,2.0,3.0,LC3-WIPI,dTMEM+dFIP200,NoTreat,AiryscanProcessing.czi
