Unnamed: 0,Unnamed: 0.1,channel,count,filename,im_number,intensity_mean,intensity_sd,overlap_count,parent_cell,vol_mean,vol_sd,vol_total,flagged_oof,flagged_z,n_cells,raw_cells,stains,cell_line,treatment,czi_id
0,0,488.0,23.0,LC3-WIPI_HEK_dAtg7_3hrTor_4Pos_2_AiryscanProcessing.czi,0.0,11721.304347826086,3950.5814121558287,0.0,1.0,123.7391304347826,102.66769758050587,2846.0,0.0,0.0,2,2,LC3-WIPI,dAtg7,3hrTor,4Pos_2
1,1,488.0,23.0,LC3-WIPI_HEK_dAtg7_3hrTor_4Pos_2_AiryscanProcessing.czi,0.0,11007.521739130434,3733.493280970435,0.0,2.0,126.91304347826087,92.63217242183696,2919.0,0.0,0.0,2,2,LC3-WIPI,dAtg7,3hrTor,4Pos_2
2,2,488.0,33.0,LC3-WIPI_HEK_dAtg7_3hrTor_4Pos_2_AiryscanProcessing.czi,1.0,9437.242424242424,3492.1496695293486,0.0,1.0,91.21212121212122,95.0088014264197,3010.0,0.0,0.0,2,2,LC3-WIPI,dAtg7,3hrTor,4Pos_2
3,3,488.0,36.0,LC3-WIPI_HEK_dAtg7_3hrTor_4Pos_2_AiryscanProcessing.czi,1.0,9808.777777777776,3304.130013968329,0.0,2.0,97.80555555555556,77.17024572590671,3521.0,0.0,0.0,2,2,LC3-WIPI,dAtg7,3hrTor,4Pos_2
4,4,561.0,2.0,LC3-WIPI_HEK_dAtg7_3hrTor_4Pos_2_AiryscanProcessing.czi,1.0,7161.5,699.3286065934955,0.0,1.0,73.0,41.012193308819754,146.0,0.0,0.0,2,2,LC3-WIPI,dAtg7,3hrTor,4Pos_2
5,5,561.0,1.0,LC3-WIPI_HEK_dAtg7_3hrTor_4Pos_2_AiryscanProcessing.czi,1.0,7483.0,,0.0,2.0,91.0,,91.0,0.0,0.0,2,2,LC3-WIPI,dAtg7,3hrTor,4Pos_2
6,6,488.0,18.0,LC3-WIPI_HEK_dAtg7_3hrTor_4Pos_2_AiryscanProcessing.czi,2.0,11778.277777777776,3757.6545532858745,0.0,1.0,131.27777777777777,82.62872706237046,2363.0,0.0,0.0,2,2,LC3-WIPI,dAtg7,3hrTor,4Pos_2
7,7,488.0,22.0,LC3-WIPI_HEK_dAtg7_3hrTor_4Pos_2_AiryscanProcessing.czi,2.0,10994.318181818182,2757.1984985862127,0.0,2.0,121.63636363636364,108.0350672586256,2676.0,0.0,0.0,2,2,LC3-WIPI,dAtg7,3hrTor,4Pos_2
8,8,488.0,10.0,LC3-WIPI_HEK_dAtg7_3hrTor_4Pos_2_AiryscanProcessing.czi,3.0,10679.0,4734.0043186385965,0.0,1.0,218.1,416.0666212679567,2181.0,0.0,0.0,2,2,LC3-WIPI,dAtg7,3hrTor,4Pos_2
9,9,488.0,20.0,LC3-WIPI_HEK_dAtg7_3hrTor_4Pos_2_AiryscanProcessing.czi,3.0,12113.7,4364.7128934335715,0.0,2.0,171.75,152.68814967976908,3435.0,0.0,0.0,2,2,LC3-WIPI,dAtg7,3hrTor,4Pos_2
10,10,561.0,0.0,LC3-WIPI_HEK_dAtg7_3hrTor_4Pos_2_AiryscanProcessing.czi,0.0,,,,1.0,,,,0.0,0.0,2,2,LC3-WIPI,dAtg7,3hrTor,4Pos_2
11,11,561.0,0.0,LC3-WIPI_HEK_dAtg7_3hrTor_4Pos_2_AiryscanProcessing.czi,0.0,,,,2.0,,,,0.0,0.0,2,2,LC3-WIPI,dAtg7,3hrTor,4Pos_2
12,12,561.0,0.0,LC3-WIPI_HEK_dAtg7_3hrTor_4Pos_2_AiryscanProcessing.czi,2.0,,,,1.0,,,,0.0,0.0,2,2,LC3-WIPI,dAtg7,3hrTor,4Pos_2
13,13,561.0,0.0,LC3-WIPI_HEK_dAtg7_3hrTor_4Pos_2_AiryscanProcessing.czi,2.0,,,,2.0,,,,0.0,0.0,2,2,LC3-WIPI,dAtg7,3hrTor,4Pos_2
14,14,561.0,0.0,LC3-WIPI_HEK_dAtg7_3hrTor_4Pos_2_AiryscanProcessing.czi,3.0,,,,1.0,,,,0.0,0.0,2,2,LC3-WIPI,dAtg7,3hrTor,4Pos_2
15,15,561.0,0.0,LC3-WIPI_HEK_dAtg7_3hrTor_4Pos_2_AiryscanProcessing.czi,3.0,,,,2.0,,,,0.0,0.0,2,2,LC3-WIPI,dAtg7,3hrTor,4Pos_2
0,0,488.0,18.0,LC3-WIPI_HEK_dVPS_3hrTor_10Pos_3_AiryscanProcessing.czi,0.0,8692.944444444445,2169.280104828008,6.0,1.0,75.0,79.90214603611389,1350.0,0.0,0.0,2,2,LC3-WIPI,dVPS,3hrTor,10Pos_3
1,1,488.0,24.0,LC3-WIPI_HEK_dVPS_3hrTor_10Pos_3_AiryscanProcessing.czi,0.0,8633.166666666666,1883.4263565586289,11.0,2.0,86.45833333333331,67.71999843772737,2075.0,0.0,0.0,2,2,LC3-WIPI,dVPS,3hrTor,10Pos_3
